,area,customer rating,eatType,familyFriendly,food,name,near,priceRange
0,riverside,1 out of 5,pub,yes,,Aromi,,
1,riverside,,coffee shop,yes,Fast food,The Wrestlers,Raja Indian Cuisine,moderate
2,,high,,,Fast food,Midsummer House,All Bar One,more than £30
3,,,,,Japanese,Fitzbillies,The Six Bells,less than £20
4,riverside,,,,Fast food,Bibimbap House,Clare Hall,moderate
5,,3 out of 5,,yes,Japanese,Strada,Rainbow Vegetarian Café,£20-25
6,,5 out of 5,,yes,Indian,Cotto,Ranch,
7,,,restaurant,yes,French,Loch Fyne,,high
8,riverside,low,pub,,English,The Waterman,,
9,riverside,,pub,,Italian,Green Man,Café Rouge,
10,riverside,,,no,French,Alimentum,,more than £30
11,,,,no,French,The Golden Curry,The Bakers,moderate
12,,1 out of 5,coffee shop,yes,,Giraffe,The Bakers,high
13,riverside,5 out of 5,,no,Italian,The Waterman,,cheap
14,riverside,3 out of 5,coffee shop,yes,Italian,The Eagle,Burger King,moderate
15,,,pub,yes,French,The Plough,Café Rouge,less than £20
16,,high,pub,yes,Indian,Zizzi,,
17,city centre,low,,no,Japanese,The Rice Boat,,
18,,,,yes,,Clowns,Café Sicilia,moderate
19,riverside,average,,no,French,The Waterman,,less than £20
20,city centre,,pub,,Italian,The Mill,,high
21,,5 out of 5,,,Italian,Browns Cambridge,,cheap
22,riverside,,,yes,Chinese,Alimentum,,£20-25
23,riverside,low,,yes,French,The Rice Boat,,
24,,,pub,,Fast food,The Cambridge Blue,Café Brazil,moderate
25,city centre,low,coffee shop,yes,Italian,The Eagle,Burger King,less than £20
26,riverside,1 out of 5,coffee shop,yes,Japanese,Fitzbillies,,moderate
27,riverside,1 out of 5,coffee shop,no,French,Fitzbillies,,moderate
28,riverside,1 out of 5,,yes,French,The Rice Boat,Express by Holiday Inn,moderate
29,riverside,low,coffee shop,,Japanese,Cotto,The Portland Arms,more than £30
30,riverside,,,yes,Fast food,Alimentum,,moderate
31,,low,,yes,English,Cotto,Ranch,
32,riverside,,pub,,Fast food,Green Man,Café Rouge,
33,riverside,high,pub,,Italian,The Waterman,,
34,,,restaurant,no,English,Loch Fyne,,
35,riverside,average,,yes,French,The Rice Boat,Express by Holiday Inn,less than £20
36,riverside,,,yes,Japanese,Alimentum,,less than £20
37,city centre,high,,yes,Chinese,The Waterman,,£20-25
38,,3 out of 5,,no,,Fitzbillies,Express by Holiday Inn,£20-25
39,riverside,high,coffee shop,yes,Indian,Fitzbillies,,more than £30
40,riverside,,coffee shop,yes,Japanese,The Wrestlers,Raja Indian Cuisine,less than £20
41,riverside,average,coffee shop,yes,Fast food,Aromi,,
42,,average,pub,yes,Indian,Zizzi,,
43,riverside,3 out of 5,,,Japanese,The Phoenix,,£20-25
44,,average,,yes,English,Strada,Rainbow Vegetarian Café,cheap
45,,low,,yes,English,The Wrestlers,,less than £20
46,riverside,average,coffee shop,no,,Blue Spice,Avalon,less than £20
47,riverside,3 out of 5,coffee shop,no,Japanese,The Eagle,Burger King,high
48,city centre,low,,no,Chinese,The Rice Boat,,
49,,,restaurant,yes,,The Plough,The Bakers,moderate
50,city centre,,pub,,Chinese,The Mill,,high
51,,5 out of 5,coffee shop,yes,Fast food,The Punter,Café Sicilia,cheap
52,riverside,low,pub,no,,Aromi,,
53,,,restaurant,no,Italian,Loch Fyne,,less than £20
54,,high,,yes,Chinese,The Wrestlers,,more than £30
55,riverside,,coffee shop,no,Japanese,The Wrestlers,Raja Indian Cuisine,less than £20
56,,,restaurant,no,Japanese,Loch Fyne,,
57,,,,yes,Chinese,The Twenty Two,,
58,riverside,,pub,,French,The Mill,,£20-25
59,city centre,high,,no,,Blue Spice,,£20-25
60,riverside,,pub,no,Japanese,The Olive Grove,,moderate
61,,,pub,,English,The Cambridge Blue,Café Brazil,more than £30
62,,,pub,,English,The Cambridge Blue,Café Brazil,high
63,,,restaurant,yes,Italian,Loch Fyne,,less than £20
64,riverside,3 out of 5,,no,French,The Rice Boat,Express by Holiday Inn,high
65,riverside,high,coffee shop,yes,Italian,Browns Cambridge,Crowne Plaza Hotel,
66,,,restaurant,no,,Travellers Rest Beefeater,,more than £30
67,,5 out of 5,,,Japanese,Midsummer House,All Bar One,cheap
68,,,pub,yes,French,The Dumpling Tree,The Portland Arms,
69,,high,pub,,French,Wildwood,,£20-25
70,city centre,low,,no,Japanese,The Waterman,,more than £30
71,riverside,low,,yes,Indian,The Rice Boat,Express by Holiday Inn,less than £20
72,,low,coffee shop,yes,Indian,The Cricketers,The Portland Arms,
73,riverside,high,coffee shop,yes,,Blue Spice,Avalon,£20-25
74,riverside,,,yes,Italian,Alimentum,,moderate
75,,3 out of 5,coffee shop,no,French,The Punter,Café Sicilia,high
76,riverside,5 out of 5,,,English,Alimentum,Yippee Noodle Bar,cheap
77,city centre,,,yes,French,Green Man,All Bar One,more than £30
78,riverside,low,,no,French,The Waterman,,less than £20
79,,low,,yes,,Fitzbillies,Express by Holiday Inn,more than £30
80,,,restaurant,yes,Italian,Loch Fyne,,
81,city centre,5 out of 5,coffee shop,yes,Japanese,Fitzbillies,,cheap
82,riverside,low,coffee shop,no,Japanese,Aromi,,
83,city centre,,pub,,Japanese,The Mill,,more than £30
84,riverside,5 out of 5,coffee shop,yes,French,The Eagle,Burger King,more than £30
85,,1 out of 5,,no,French,The Wrestlers,,moderate
86,,low,,no,Japanese,Cotto,Ranch,
87,riverside,,,no,Indian,Alimentum,,less than £20
88,,,,,French,Cotto,Café Rouge,
89,,,restaurant,,English,The Dumpling Tree,,high
90,city centre,average,coffee shop,yes,Fast food,The Eagle,Burger King,cheap
91,,high,,,Indian,Browns Cambridge,,£20-25
92,,average,restaurant,,,Strada,,
93,,,,no,Fast food,The Twenty Two,,
94,,,,yes,Italian,The Golden Curry,The Bakers,cheap
95,riverside,high,,yes,English,The Rice Boat,,
96,city centre,,,no,French,Alimentum,,moderate
97,,3 out of 5,coffee shop,,Italian,Wildwood,Ranch,moderate
98,,,restaurant,no,,The Plough,The Bakers,less than £20
99,city centre,average,,yes,Fast food,The Waterman,,cheap
100,riverside,3 out of 5,,,Fast food,The Phoenix,,
101,riverside,,coffee shop,yes,Italian,The Wrestlers,Raja Indian Cuisine,cheap
102,,,,,,Fitzbillies,Rainbow Vegetarian Café,cheap
