,area,customer rating,eatType,familyFriendly,food,name,near,priceRange
0,,high,coffee shop,yes,,The Cricketers,Café Sicilia,
1,riverside,average,pub,no,Fast food,The Mill,Café Sicilia,high
2,city centre,,pub,,,Blue Spice,,
3,city centre,,restaurant,yes,Indian,The Waterman,Raja Indian Cuisine,high
4,riverside,high,pub,yes,French,The Phoenix,Crowne Plaza Hotel,£20-25
5,riverside,,pub,no,Japanese,The Wrestlers,Raja Indian Cuisine,less than £20
6,riverside,3 out of 5,pub,yes,French,The Phoenix,Café Sicilia,£20-25
7,,3 out of 5,restaurant,yes,,The Cricketers,Avalon,
8,city centre,high,pub,no,Japanese,The Vaults,Rainbow Vegetarian Café,£20-25
9,city centre,,restaurant,yes,Chinese,The Punter,Raja Indian Cuisine,less than £20
10,city centre,average,pub,yes,Fast food,The Mill,Café Sicilia,high
11,riverside,,restaurant,yes,Chinese,The Plough,Raja Indian Cuisine,cheap
12,riverside,3 out of 5,pub,no,Japanese,The Vaults,Raja Indian Cuisine,high
13,city centre,,restaurant,yes,Chinese,The Punter,Raja Indian Cuisine,moderate
14,riverside,3 out of 5,restaurant,yes,English,The Mill,Café Rouge,moderate
15,riverside,,restaurant,no,French,The Vaults,Raja Indian Cuisine,moderate
16,riverside,,restaurant,yes,Chinese,The Plough,Raja Indian Cuisine,£20-25
17,riverside,,restaurant,yes,Japanese,The Wrestlers,Raja Indian Cuisine,more than £30
18,,1 out of 5,pub,,,Green Man,All Bar One,
19,city centre,,pub,,,Strada,,
20,,low,coffee shop,,,Cocum,Express by Holiday Inn,
21,city centre,,pub,yes,French,Giraffe,Raja Indian Cuisine,
22,city centre,low,restaurant,no,Chinese,The Cricketers,All Bar One,less than £20
23,riverside,1 out of 5,restaurant,no,Chinese,The Cricketers,All Bar One,moderate
24,city centre,high,restaurant,no,Italian,The Punter,Express by Holiday Inn,£20-25
25,city centre,,pub,yes,Japanese,The Wrestlers,Raja Indian Cuisine,more than £30
26,city centre,1 out of 5,pub,no,Fast food,The Mill,Café Sicilia,high
27,,,coffee shop,,,Zizzi,The Sorrento,
28,riverside,3 out of 5,pub,yes,French,The Phoenix,Crowne Plaza Hotel,£20-25
29,riverside,,restaurant,no,Fast food,The Phoenix,Raja Indian Cuisine,moderate
30,city centre,average,restaurant,yes,English,The Cricketers,Café Rouge,cheap
31,riverside,high,restaurant,yes,Italian,The Punter,Express by Holiday Inn,£20-25
32,riverside,,pub,no,Italian,The Waterman,Raja Indian Cuisine,less than £20
33,city centre,,restaurant,no,English,The Mill,Raja Indian Cuisine,less than £20
34,riverside,1 out of 5,pub,yes,French,The Phoenix,Crowne Plaza Hotel,moderate
35,riverside,,coffee shop,,,Wildwood,,
36,,3 out of 5,coffee shop,,,Clowns,All Bar One,
37,city centre,average,pub,no,French,The Phoenix,Crowne Plaza Hotel,less than £20
38,,average,pub,,,Blue Spice,Crowne Plaza Hotel,
39,riverside,,restaurant,yes,Indian,Wildwood,Raja Indian Cuisine,
40,,low,restaurant,no,,The Cricketers,Express by Holiday Inn,
41,city centre,average,restaurant,no,Indian,The Punter,Express by Holiday Inn,high
42,city centre,,pub,no,Italian,Wildwood,Raja Indian Cuisine,
43,riverside,,pub,yes,Italian,Wildwood,Raja Indian Cuisine,
44,riverside,low,restaurant,yes,Indian,The Punter,Express by Holiday Inn,less than £20
45,riverside,1 out of 5,restaurant,no,Chinese,The Cricketers,All Bar One,high
46,riverside,,pub,no,Japanese,The Wrestlers,Raja Indian Cuisine,more than £30
47,city centre,,restaurant,yes,Chinese,The Plough,Raja Indian Cuisine,high
48,riverside,1 out of 5,pub,yes,Italian,The Vaults,Rainbow Vegetarian Café,moderate
49,city centre,average,restaurant,yes,Chinese,The Cricketers,All Bar One,cheap
